Pharmanummer;Handelsname;Mengenangabe;Mengenart
1063;AGAFFIN ABFUEHRGEL        TB;100;ML
1086;AGAFFIN ABFUEHRGEL        FL;500;ML
1318;AKINETON TBL 2MG;50;ST
1324;AKINETON TBL 2MG;100;ST
1376;AKNICHTHOL LOT;30;G
1732;ALKERAN FTBL 2MG;25;ST
2973;ANTIBIOPHILUS HKPS;20;ST
3582;APREDNISLON TBL  5MG;100;ST
3599;APREDNISLON TBL 25MG;10;ST
4050;ARTAMIN KPS 250MG;50;ST
4297;ASCORBISAL TBL;20;ST
4920;ATARAX FTBL 25MG;20;ST
5078;AUREOCORT SLB;15;G
5865;BANEOCIN SLB;5;G
5871;BANEOCIN SLB;20;G
7031;BETNESOL AMP 1ML;5;ST
7054;BETNESOL AU-OH-NA-TR;5;ML
7077;BETNESOL BRTBL;30;ST
7114;BETNESOL N AU-OH-NA-TR;5;ML
7143;BETNOVATE CR;30;G
7189;BETNOVATE SLB;30;G
7278;BETNOVATE CRIN LSG;30;ML
8728;BURONIL FTBL  25MG;100;ST
10234;CATAPRESAN TBL 0,15MG;30;ST
10257;CATHEJELL DIPHENH.TB;20;G
12032;COLDARGAN LSG;10;ML
12049;COLDISTAN NA-TR;10;ML
13793;CYKLOKAPRON FTBL;20;ST
14485;DECADURABOLIN AMP 25MG 1ML;1;ST
14491;DECADURABOLIN AMP 50MG 1ML;1;ST
14580;DECODERM CR;30;G
14628;DECODERM CP CR;30;G
15272;DERMODRIN SLB;20;G
15384;DESITIN SLB;20;G
15510;DEXAMETHASON NYC AMP 4MG;5;ST
15800;DIBONDRIN AMP 2ML;5;ST
15823;DIBONDRIN DRG;20;ST
16188;DIGIMERCK AMP 0,25MG;5;ST
16231;DIGIMERCK TBL 0,1MG;100;ST
17302;DIVINAL-CARL-BADERS SLB;22;G
17615;DOMINAL FTBL FTE 80MG;20;ST
18589;EFFORTIL TR;15;ML
18595;EFFORTIL TR;50;ML
18951;EKZEMSLB-F AGE;20;G
19962;ERYCYTOL DEP AMP 1MG 1ML;3;ST
20385;EUCILLIN-B SLB;15;G
21002;EUSAPRIM TBL;20;ST
21657;FENTRINOL NA-TR;12;ML
21841;FERROGRADUMET FTBL;30;ST
22792;FUCIDIN FTBL;36;ST
23082;FURADANTIN RET KPS;20;ST
23099;FURADANTIN RET KPS;50;ST
24785;DELTA-HAEDENSA SLB;20;G
24940;HALOMYCETIN AU-SLB;5;G
24957;HALDOL TBL  1MG;50;ST
25738;HIRUDOID SLB;40;G
26117;HUMATIN KPS;16;ST
26241;HYDERGIN TR 1MG/ML;15;ML
26258;HYDERGIN TR 1MG/ML;50;ML
26502;HYLAK TR FTE;30;ML
26519;HYLAK TR FTE;100;ML
27393;INDERAL FTBL 10MG;50;ST
27430;INDOCID KPS 25MG;30;ST
27594;INOTYOL SLB;25;G
27602;INOTYOL SLB;50;G
28866;ISOPTIN AMP 5MG;5;ST
28895;ISOPTIN DRG 80MG;20;ST
28903;ISOPTIN DRG 80MG;50;ST
29392;KALIORAL FRE PLV 8G;10;ST
29699;KEMADRIN TBL 5MG;100;ST
30314;KUEHLPREDNON SLB;20;G
30320;KUEHLPREDNON SLB;50;G
30389;LACTAT OR WABO FL;250;ML
31130;LASIX TBL  40MG;50;ST
31294;LECICARBON SUPP;6;ST
31696;LEUKERAN FTBL 2MG;25;ST
33318;MARCOUMAR TBL 3MG;25;ST
34186;MESTINON DRG 60MG;150;ST
35145;MOGADON TBL;10;ST
35955;MULTODRIN SLB;15;G
36067;MYCOSTATIN SUS OR;24;ML
36245;MYLERAN FTBL 2MG;100;ST
36446;MYSOLINE TBL;100;ST
37931;NEUROBION AMP 3ML;3;ST
37954;NEUROBION DRG FTE;20;ST
37960;NEUROBION DRG FTE;100;ST
38037;NEUROLEPSIN TBL;50;ST
38528;NORGESIC TBL 35/450MG;30;ST
38824;NOVALGIN AMP 2,5G 5ML;5;ST
38876;NOVALGIN FTBL;10;ST
38882;NOVALGIN TR;10;ML
38988;NOVANAEST-PUR AMP 2%  2ML;10;ST
38994;NOVANAEST-PUR AMP 2%  5ML;10;ST
39841;OLEOVIT D3 TR;12,5;ML
40040;OMNIFLORA KPS;30;ST
40100;OPHTAGUTTAL AU-TR;10;ML
40407;ORGAMETRIL TBL;30;ST
40726;OSPEN-1000 FTBL;12;ST
41660;PANTOTHEN SLB 5%;30;G
41849;PARACODIN TBL;20;ST
41855;PARACODIN TR;15;G
42205;PARKEMED SUPP 125MG;6;ST
42211;PARKEMED SUPP 500MG;6;ST
42346;PASPERTIN AMP 10MG 2ML;5;ST
42381;PASPERTIN FTBL;10;ST
42398;PASPERTIN FTBL;50;ST
43989;PETINIMID SIR;250;ML
44440;PILOCARPIN PUROPT AU-TR 2%;10;G
45244;PRAXITEN TBL 15MG;20;ST
45250;PRAXITEN TBL 15MG;50;ST
45267;PRAXITEN TBL 50MG;20;ST
45385;PREDNISOLON NYC TBL  5MG;10;ST
45416;PREDNISOLON NYC TBL  5MG;100;ST
45480;PREGNYL TRAMP 1500IE +LSM;3;ST
46344;PROGYNOVA DRG MTE;60;ST
46456;PROLUTON DEP AMP 250MG 1ML;3;ST
46781;PROTHIUCIL TBL;50;ST
47065;PURI-NETHOL TBL 50MG;25;ST
48018;REFOBACIN AMP  10MG 2ML;5;ST
48024;REFOBACIN AMP  40MG 1ML;5;ST
48030;REFOBACIN AMP  80MG 2ML;1;ST
48053;REFOBACIN CR;15;G
48389;RESOCHIN FTBL 0,25G;30;ST
49064;RHINON NA-TR;10;ML
49093;RHINOPERD NA-TR;10;ML
